coin,min_rr,atr_buffer_multiplier,risk_per_trade_percent,partial_tp_rr,net_profit,win_rate,profit_factor,max_drawdown,total_trades,total_r_gain
BTCUSDT,2.0,0.6,2.0,1.5,12352.81,53.57,1.59,22.56,196,61.76
BTCUSDT,2.0,1.1,1.0,1.1,10521.43,61.03,2.05,7.33,213,105.21
BTCUSDT,2.0,0.6,2.0,1.1,13330.15,61.81,1.76,17.18,199,66.65
BTCUSDT,2.0,0.6,2.0,2.0,13611.66,47.45,1.57,20.85,196,68.06
BTCUSDT,2.0,0.6,1.0,1.5,10810.58,53.91,1.79,13.69,243,108.11
BTCUSDT,2.0,0.6,1.0,2.0,11365.07,47.74,1.73,12.56,243,113.65
BTCUSDT,2.0,0.6,1.0,1.1,11328.83,62.2,1.98,11.37,246,113.29
BTCUSDT,2.0,1.1,1.0,2.0,13415.01,48.82,2.04,8.44,211,134.15
BTCUSDT,2.0,1.1,1.0,1.5,12889.52,56.34,2.16,7.65,213,128.9
BTCUSDT,2.0,1.1,2.0,1.5,19625.09,54.17,1.96,10.34,192,98.13
BTCUSDT,2.0,1.1,2.0,1.1,15718.78,59.9,1.88,9.48,192,78.59
BTCUSDT,2.0,1.1,2.0,2.0,21181.94,46.84,1.9,10.73,190,105.91
BTCUSDT,2.0,1.4,1.0,1.5,13042.63,56.99,2.38,6.2,186,130.43
BTCUSDT,2.0,1.4,1.0,1.1,9978.18,64.36,2.25,4.25,188,99.78
BTCUSDT,2.0,1.4,1.0,2.0,13831.61,50.27,2.24,6.44,185,138.32
BTCUSDT,2.0,1.4,2.0,2.0,28170.34,51.76,2.47,10.43,170,140.85
BTCUSDT,2.0,1.4,2.0,1.1,19155.08,63.95,2.34,8.41,172,95.78
BTCUSDT,2.0,1.4,2.0,1.5,24909.75,55.88,2.43,10.54,170,124.55
BTCUSDT,2.0,2.0,1.0,1.1,7559.87,66.23,2.24,9.19,154,75.6
BTCUSDT,2.0,2.0,1.0,2.0,6393.56,46.0,1.68,11.01,150,63.94
BTCUSDT,2.0,2.0,1.0,1.5,7059.44,54.97,1.89,7.86,151,70.59
BTCUSDT,2.0,2.0,2.0,1.1,16020.82,66.89,2.42,12.94,148,80.1
BTCUSDT,2.0,2.0,2.0,2.0,14218.46,47.22,1.82,16.98,144,71.09
BTCUSDT,2.0,2.0,2.0,1.5,15600.21,56.55,2.08,11.96,145,78.0
BTCUSDT,2.5,0.6,1.0,1.1,10173.37,60.56,1.96,11.03,213,101.73
BTCUSDT,2.5,0.6,1.0,1.5,9984.39,54.03,1.82,11.88,211,99.84
BTCUSDT,2.5,0.6,1.0,2.0,11505.61,50.24,1.88,7.68,211,115.06
BTCUSDT,2.5,0.6,2.0,1.1,10925.35,59.76,1.71,16.5,164,54.63
BTCUSDT,2.5,0.6,2.0,1.5,10669.68,53.37,1.6,18.74,163,53.35
BTCUSDT,2.5,0.6,2.0,2.0,13812.01,50.31,1.73,11.25,163,69.06
BTCUSDT,2.5,1.1,1.0,1.1,10990.25,63.95,2.43,6.07,172,109.9
BTCUSDT,2.5,1.1,1.0,1.5,13267.63,59.65,2.56,5.9,171,132.68
BTCUSDT,2.5,1.1,1.0,2.0,13610.85,51.18,2.33,6.5,170,136.11
BTCUSDT,2.5,1.1,2.0,1.1,16650.94,62.91,2.25,8.95,151,83.25
BTCUSDT,2.5,1.1,2.0,1.5,20375.82,57.33,2.34,8.92,150,101.88
BTCUSDT,2.5,1.1,2.0,2.0,21568.15,48.99,2.2,10.73,149,107.84
BTCUSDT,2.5,1.4,1.0,1.1,10664.55,67.92,2.72,5.32,159,106.65
BTCUSDT,2.5,1.4,1.0,1.5,13548.85,60.26,2.81,4.76,156,135.49
BTCUSDT,2.5,1.4,1.0,2.0,13243.92,51.61,2.43,4.69,155,132.44
BTCUSDT,2.5,1.4,2.0,1.1,19434.09,67.38,2.8,9.59,141,97.17
BTCUSDT,2.5,1.4,2.0,1.5,25747.99,60.0,2.96,8.21,140,128.74
BTCUSDT,2.5,1.4,2.0,2.0,27130.67,54.29,2.79,8.24,140,135.65
BTCUSDT,2.5,2.0,1.0,1.1,8080.59,66.67,2.69,4.0,120,80.81
BTCUSDT,2.5,2.0,1.0,1.5,7449.05,55.56,2.2,4.07,117,74.49
BTCUSDT,2.5,2.0,1.0,2.0,7584.92,48.72,2.07,4.13,117,75.85
BTCUSDT,2.5,2.0,2.0,1.1,15309.08,67.26,2.77,5.55,113,76.55
BTCUSDT,2.5,2.0,2.0,1.5,14626.26,57.27,2.34,6.01,110,73.13
BTCUSDT,2.5,2.0,2.0,2.0,14848.03,50.0,2.17,6.28,110,74.24
BTCUSDT,3.0,0.6,1.0,1.1,11305.85,65.22,2.36,10.15,184,113.06
BTCUSDT,3.0,0.6,1.0,1.5,11302.87,58.47,2.16,8.81,183,113.03
BTCUSDT,3.0,0.6,1.0,2.0,12739.17,54.1,2.18,7.14,183,127.39
BTCUSDT,3.0,0.6,2.0,1.1,12923.18,65.69,2.15,14.76,137,64.62
BTCUSDT,3.0,0.6,2.0,1.5,13079.48,59.12,1.98,12.73,137,65.4
BTCUSDT,3.0,0.6,2.0,2.0,16101.96,55.47,2.11,8.65,137,80.51
BTCUSDT,3.0,1.1,1.0,1.1,11313.11,66.44,2.81,6.95,146,113.13
BTCUSDT,3.0,1.1,1.0,1.5,13837.16,63.01,3.03,6.68,146,138.37
BTCUSDT,3.0,1.1,1.0,2.0,13709.36,53.1,2.61,7.27,145,137.09
BTCUSDT,3.0,1.1,2.0,1.1,15880.9,65.29,2.57,10.56,121,79.4
BTCUSDT,3.0,1.1,2.0,1.5,20369.03,61.16,2.8,10.16,121,101.85
BTCUSDT,3.0,1.1,2.0,2.0,20213.46,50.83,2.42,9.78,120,101.07
BTCUSDT,3.0,1.4,1.0,1.1,10648.11,72.18,3.3,3.46,133,106.48
BTCUSDT,3.0,1.4,1.0,1.5,13298.17,64.39,3.29,3.69,132,132.98
BTCUSDT,3.0,1.4,1.0,2.0,12586.25,54.2,2.66,4.41,131,125.86
BTCUSDT,3.0,1.4,2.0,1.1,19401.21,72.17,3.54,4.66,115,97.01
BTCUSDT,3.0,1.4,2.0,1.5,24651.16,64.04,3.53,5.35,114,123.26
BTCUSDT,3.0,1.4,2.0,2.0,24792.0,57.02,3.11,8.7,114,123.96
BTCUSDT,3.0,2.0,1.0,1.1,5566.97,63.74,2.4,4.16,91,55.67
BTCUSDT,3.0,2.0,1.0,1.5,5274.56,52.81,2.05,4.23,89,52.75
BTCUSDT,3.0,2.0,1.0,2.0,4574.45,44.94,1.79,4.96,89,45.74
BTCUSDT,3.0,2.0,2.0,1.1,10290.13,64.71,2.46,6.68,85,51.45
BTCUSDT,3.0,2.0,2.0,1.5,9975.45,54.22,2.12,7.33,83,49.88
ETHUSDT,2.0,0.6,1.0,1.1,12888.91,60.95,2.03,5.27,274,128.89
ETHUSDT,2.0,0.6,1.0,1.5,15374.11,57.41,2.15,5.32,270,153.74
BTCUSDT,3.0,2.0,2.0,2.0,8525.28,45.78,1.82,8.63,83,42.63
ETHUSDT,2.0,0.6,1.0,2.0,14557.78,48.68,1.92,6.84,265,145.58
ETHUSDT,2.0,0.6,2.0,1.1,25310.91,59.76,2.13,9.26,246,126.55
ETHUSDT,2.0,0.6,2.0,1.5,29521.29,55.79,2.22,8.94,242,147.61
ETHUSDT,2.0,0.6,2.0,2.0,28229.56,47.48,1.99,10.42,238,141.15
ETHUSDT,2.0,1.1,1.0,1.1,4547.51,53.16,1.35,14.24,237,45.48
ETHUSDT,2.0,1.1,1.0,1.5,4104.55,45.34,1.28,13.77,236,41.05
ETHUSDT,2.0,1.1,1.0,2.0,2687.35,37.61,1.16,22.42,234,26.87
ETHUSDT,2.0,1.1,2.0,1.1,8146.19,52.91,1.34,28.31,223,40.73
ETHUSDT,2.0,1.1,2.0,1.5,7330.16,45.05,1.27,28.43,222,36.65
ETHUSDT,2.0,1.1,2.0,2.0,5473.29,38.46,1.18,34.92,221,27.37
ETHUSDT,2.0,1.4,1.0,1.1,610.62,52.31,1.05,23.5,216,6.11
ETHUSDT,2.0,1.4,1.0,2.0,-1032.81,36.67,0.93,34.7,210,-10.33
ETHUSDT,2.0,1.4,1.0,1.5,300.52,44.86,1.02,26.33,214,3.01
ETHUSDT,2.0,1.4,2.0,1.1,49.43,51.72,1.0,42.3,203,0.25
ETHUSDT,2.0,1.4,2.0,1.5,-1724.47,43.56,0.93,54.61,202,-8.62
ETHUSDT,2.0,1.4,2.0,2.0,-4472.84,34.67,0.85,69.0,199,-22.36
ETHUSDT,2.0,2.0,1.0,1.1,127.57,53.5,1.02,23.22,157,1.28
ETHUSDT,2.0,2.0,1.0,1.5,431.36,44.81,1.05,22.57,154,4.31
ETHUSDT,2.0,2.0,1.0,2.0,-526.04,36.6,0.95,27.38,153,-5.26
ETHUSDT,2.0,2.0,2.0,1.5,555.63,41.78,1.03,38.43,146,2.78
ETHUSDT,2.0,2.0,2.0,1.1,268.08,51.01,1.02,38.06,149,1.34
ETHUSDT,2.0,2.0,2.0,2.0,-1759.2,33.1,0.92,49.25,145,-8.8
ETHUSDT,2.5,0.6,1.0,1.1,14577.99,62.81,2.36,5.5,242,145.78
ETHUSDT,2.5,0.6,1.0,1.5,16652.19,58.4,2.42,5.1,238,166.52
ETHUSDT,2.5,0.6,1.0,2.0,16503.74,50.63,2.19,6.36,237,165.04
ETHUSDT,2.5,0.6,2.0,1.1,23544.85,61.61,2.27,8.08,211,117.72
ETHUSDT,2.5,0.6,2.0,1.5,26893.22,56.52,2.3,7.68,207,134.47
ETHUSDT,2.5,0.6,2.0,2.0,26796.12,49.03,2.11,8.34,206,133.98
ETHUSDT,2.5,1.1,1.0,1.1,4690.59,54.5,1.46,13.59,189,46.91
ETHUSDT,2.5,1.1,1.0,1.5,4837.63,48.15,1.42,12.03,189,48.38
ETHUSDT,2.5,1.1,1.0,2.0,3410.51,39.57,1.25,21.04,187,34.11
ETHUSDT,2.5,1.1,2.0,1.1,8432.34,54.29,1.46,26.64,175,42.16
ETHUSDT,2.5,1.1,2.0,1.5,8796.31,48.0,1.42,25.55,175,43.98
ETHUSDT,2.5,1.1,2.0,2.0,6919.6,40.8,1.29,33.53,174,34.6
ETHUSDT,2.5,1.4,1.0,1.1,1360.11,53.75,1.16,22.83,160,13.6
ETHUSDT,2.5,1.4,1.0,1.5,901.89,45.91,1.09,23.89,159,9.02
ETHUSDT,2.5,1.4,1.0,2.0,402.74,38.61,1.04,27.79,158,4.03
ETHUSDT,2.5,1.4,2.0,1.1,2161.68,53.79,1.14,35.37,145,10.81
ETHUSDT,2.5,1.4,2.0,1.5,-258.45,44.14,0.99,50.12,145,-1.29
ETHUSDT,2.5,1.4,2.0,2.0,-1788.47,35.17,0.92,57.67,145,-8.94
ETHUSDT,2.5,2.0,1.0,1.1,548.16,56.59,1.09,19.92,129,5.48
ETHUSDT,2.5,2.0,1.0,1.5,1110.29,48.06,1.15,17.39,129,11.1
ETHUSDT,2.5,2.0,1.0,2.0,395.43,39.53,1.04,20.1,129,3.95
ETHUSDT,2.5,2.0,2.0,1.1,1146.03,53.33,1.09,32.86,120,5.73
ETHUSDT,2.5,2.0,2.0,1.5,1910.26,44.17,1.13,30.26,120,9.55
ETHUSDT,2.5,2.0,2.0,2.0,30.47,35.0,1.0,38.2,120,0.15
ETHUSDT,3.0,0.6,1.0,1.1,13955.83,65.07,2.58,8.0,209,139.56
ETHUSDT,3.0,0.6,1.0,1.5,15906.71,60.68,2.64,7.6,206,159.07
ETHUSDT,3.0,0.6,1.0,2.0,15958.09,53.4,2.38,7.1,206,159.58
ETHUSDT,3.0,0.6,2.0,1.1,23217.16,63.64,2.58,9.89,176,116.09
ETHUSDT,3.0,0.6,2.0,1.5,26198.85,58.38,2.58,9.09,173,130.99
ETHUSDT,3.0,0.6,2.0,2.0,26351.38,51.45,2.36,8.57,173,131.76
ETHUSDT,3.0,1.1,1.0,1.1,5630.06,55.84,1.69,12.59,154,56.3
ETHUSDT,3.0,1.1,1.0,2.0,5160.5,42.48,1.49,12.79,153,51.6
ETHUSDT,3.0,1.1,1.0,1.5,5874.05,50.0,1.64,12.09,154,58.74
ETHUSDT,3.0,1.1,2.0,1.1,10311.29,55.71,1.71,19.55,140,51.56
ETHUSDT,3.0,1.1,2.0,1.5,10869.15,50.0,1.67,18.76,140,54.35
ETHUSDT,3.0,1.1,2.0,2.0,10419.58,44.29,1.57,19.9,140,52.1
ETHUSDT,3.0,1.4,1.0,1.1,1182.28,54.07,1.16,21.41,135,11.82
ETHUSDT,3.0,1.4,1.0,1.5,1419.05,48.51,1.17,20.1,134,14.19
ETHUSDT,3.0,1.4,1.0,2.0,1045.85,41.35,1.11,21.41,133,10.46
ETHUSDT,3.0,1.4,2.0,1.1,1751.42,53.78,1.14,31.78,119,8.76
ETHUSDT,3.0,1.4,2.0,1.5,681.26,46.22,1.05,39.0,119,3.41
ETHUSDT,3.0,1.4,2.0,2.0,-646.87,36.97,0.96,50.32,119,-3.23
ETHUSDT,3.0,2.0,1.0,1.1,63.91,59.78,1.01,15.18,92,0.64
ETHUSDT,3.0,2.0,1.0,1.5,1125.91,52.17,1.22,12.79,92,11.26
ETHUSDT,3.0,2.0,1.0,2.0,697.21,43.48,1.12,17.17,92,6.97
ETHUSDT,3.0,2.0,2.0,1.1,177.54,55.42,1.02,26.35,83,0.89
ETHUSDT,3.0,2.0,2.0,1.5,1941.49,46.99,1.19,22.65,83,9.71
ETHUSDT,3.0,2.0,2.0,2.0,634.03,37.35,1.05,32.54,83,3.17
SOLUSDT,2.0,0.6,1.0,1.1,28815.97,63.89,3.77,3.59,252,288.16
SOLUSDT,2.0,0.6,1.0,1.5,28964.1,57.54,3.38,3.63,252,289.64
SOLUSDT,2.0,0.6,1.0,2.0,28442.01,50.4,3.02,5.1,250,284.42
SOLUSDT,2.0,0.6,2.0,1.1,32678.98,64.1,2.76,6.86,234,163.39
SOLUSDT,2.0,0.6,2.0,1.5,32735.2,57.26,2.47,6.63,234,163.68
SOLUSDT,2.0,0.6,2.0,2.0,31390.97,49.57,2.21,9.81,232,156.95
SOLUSDT,2.0,1.1,1.0,1.1,9715.0,59.64,1.96,6.27,223,97.15
SOLUSDT,2.0,1.1,1.0,1.5,9699.02,50.23,1.79,5.85,221,96.99
SOLUSDT,2.0,1.1,1.0,2.0,12034.8,47.49,1.95,5.83,219,120.35
SOLUSDT,2.0,1.1,2.0,1.1,19188.31,58.29,1.98,7.9,211,95.94
SOLUSDT,2.0,1.1,2.0,1.5,18756.35,48.33,1.79,7.7,209,93.78
SOLUSDT,2.0,1.1,2.0,2.0,22527.91,44.93,1.9,7.74,207,112.64
SOLUSDT,2.0,1.4,1.0,1.1,7713.4,57.07,1.88,8.89,184,77.13
SOLUSDT,2.0,1.4,1.0,1.5,9169.51,49.16,1.91,8.39,179,91.7
SOLUSDT,2.0,1.4,1.0,2.0,9056.47,44.94,1.84,9.61,178,90.56
SOLUSDT,2.0,1.4,2.0,1.1,17648.85,57.78,2.07,16.11,180,88.24
SOLUSDT,2.0,1.4,2.0,1.5,20506.08,50.0,2.07,15.34,176,102.53
SOLUSDT,2.0,1.4,2.0,2.0,20229.91,45.71,1.98,15.3,175,101.15
SOLUSDT,2.0,2.0,1.0,1.1,10290.79,65.0,2.97,4.69,140,102.91
SOLUSDT,2.0,2.0,1.0,1.5,12060.32,58.57,2.95,4.95,140,120.6
SOLUSDT,2.0,2.0,1.0,2.0,11846.26,51.43,2.64,10.07,140,118.46
SOLUSDT,2.0,2.0,2.0,1.1,15727.55,65.0,2.51,9.04,140,78.64
SOLUSDT,2.0,2.0,2.0,1.5,19266.62,58.57,2.56,9.29,140,96.33
SOLUSDT,2.0,2.0,2.0,2.0,18838.49,51.43,2.3,19.08,140,94.19
SOLUSDT,2.5,0.6,1.0,1.1,26452.67,63.26,3.9,5.26,215,264.53
SOLUSDT,2.5,0.6,1.0,1.5,26098.91,56.28,3.41,6.09,215,260.99
SOLUSDT,2.5,0.6,1.0,2.0,26488.02,50.7,3.19,5.83,213,264.88
SOLUSDT,2.5,0.6,2.0,1.1,27942.89,63.27,2.74,10.42,196,139.71
SOLUSDT,2.5,0.6,2.0,1.5,26955.33,55.61,2.38,12.1,196,134.78
SOLUSDT,2.5,0.6,2.0,2.0,27383.52,49.48,2.25,11.55,194,136.92
SOLUSDT,2.5,1.1,1.0,1.1,9253.35,62.29,2.22,6.46,175,92.53
SOLUSDT,2.5,1.1,1.0,1.5,9733.26,53.18,2.06,7.65,173,97.33
SOLUSDT,2.5,1.1,1.0,2.0,11594.71,50.0,2.22,7.29,170,115.95
SOLUSDT,2.5,1.1,2.0,1.1,18265.01,60.74,2.26,9.65,163,91.33
SOLUSDT,2.5,1.1,2.0,1.5,18824.84,50.93,2.06,11.71,161,94.12
SOLUSDT,2.5,1.1,2.0,2.0,21647.73,46.84,2.16,10.99,158,108.24
SOLUSDT,2.5,1.4,1.0,1.1,6961.73,58.78,2.01,10.51,148,69.62
SOLUSDT,2.5,1.4,1.0,1.5,9513.59,53.42,2.25,7.64,146,95.14
SOLUSDT,2.5,1.4,1.0,2.0,9575.42,48.97,2.16,8.41,145,95.75
SOLUSDT,2.5,1.4,2.0,1.1,16145.51,59.72,2.26,19.32,144,80.73
SOLUSDT,2.5,1.4,2.0,1.5,21169.18,54.23,2.48,14.12,142,105.85
SOLUSDT,2.5,1.4,2.0,2.0,21192.8,49.65,2.36,15.6,141,105.96
SOLUSDT,2.5,2.0,1.0,1.1,9573.8,65.31,3.63,3.67,98,95.74
SOLUSDT,2.5,2.0,1.0,1.5,11454.28,59.18,3.66,3.85,98,114.54
SOLUSDT,2.5,2.0,1.0,2.0,12061.39,55.1,3.55,5.04,98,120.61
SOLUSDT,2.5,2.0,2.0,1.1,11465.18,64.95,2.57,7.05,97,57.33
SOLUSDT,2.5,2.0,2.0,1.5,15226.14,58.76,2.77,6.86,97,76.13
SOLUSDT,2.5,2.0,2.0,2.0,16440.32,54.64,2.74,9.46,97,82.2
SOLUSDT,3.0,0.6,1.0,1.1,25470.36,65.61,4.33,4.24,189,254.7
SOLUSDT,3.0,0.6,1.0,1.5,25231.65,58.2,3.73,5.06,189,252.32
SOLUSDT,3.0,0.6,1.0,2.0,25770.68,52.41,3.48,5.45,187,257.71
SOLUSDT,3.0,0.6,2.0,1.1,25992.55,65.68,2.98,8.4,169,129.96
SOLUSDT,3.0,0.6,2.0,1.5,25195.11,57.4,2.55,10.06,169,125.98
SOLUSDT,3.0,0.6,2.0,2.0,25873.14,50.9,2.39,10.16,167,129.37
SOLUSDT,3.0,1.1,1.0,1.1,7566.19,61.74,2.14,5.12,149,75.66
SOLUSDT,3.0,1.1,1.0,1.5,7993.81,53.74,2.03,7.48,147,79.94
SOLUSDT,3.0,1.1,1.0,2.0,10807.9,52.74,2.38,5.72,146,108.08
SOLUSDT,3.0,1.1,2.0,1.1,14890.7,59.85,2.19,9.74,137,74.45
SOLUSDT,3.0,1.1,2.0,1.5,15345.94,51.11,2.03,15.09,135,76.73
SOLUSDT,3.0,1.1,2.0,2.0,20074.12,49.25,2.31,8.45,134,100.37
SOLUSDT,3.0,1.4,1.0,1.1,6352.62,61.02,2.2,9.73,118,63.53
SOLUSDT,3.0,1.4,1.0,1.5,8374.43,54.7,2.39,6.83,117,83.74
SOLUSDT,3.0,1.4,1.0,2.0,8753.2,50.86,2.36,7.62,116,87.53
SOLUSDT,3.0,1.4,2.0,1.1,14927.29,62.28,2.56,18.22,114,74.64
SOLUSDT,3.0,1.4,2.0,1.5,18890.87,55.75,2.7,12.88,113,94.45
SOLUSDT,3.0,1.4,2.0,2.0,19548.35,51.79,2.63,14.42,112,97.74
SOLUSDT,3.0,2.0,1.0,1.1,8854.41,71.43,4.73,3.84,77,88.54
SOLUSDT,3.0,2.0,1.0,1.5,10679.95,64.94,4.66,3.59,77,106.8
SOLUSDT,3.0,2.0,1.0,2.0,11686.98,62.34,4.73,3.39,77,116.87
SOLUSDT,3.0,2.0,2.0,1.1,10026.42,71.05,3.11,7.58,76,50.13
